PROVIDER-ID,PROVIDER-INFO,PROVIDER-CONTACT,PROVIDER-LOCATION
65730,NTSPTE,515-129-6697,-48.47169342458616 124.4219570160093
65733,NMSTPEFXX,352-605-7146,68.98405599344599 26.944135208809953
98500,KPFATREGS,319-486-3165,-14.107819665885998 149.11826279238986
98503,YYPKRIY,905-200-9173,32.26046106268305 25.106013730639855
65736,TCVLENBJ,452-565-1992,28.96194820853924 167.31873213648163
32971,EPJRDPQEL,177-629-1862,-37.50804498466801 3.8146116887029873
98508,GRGLYYHCU,627-134-7063,-84.11554721928364 108.19259796219747
65743,NFMIOGH,707-689-3448,48.85702289939482 116.88522740059442
32975,KOXTLIQ,220-622-9692,-72.90179056685946 44.59309406235856
32979,YVSTKJX,636-553-2265,24.472018395339987 124.19930222321896
98517,OFSYK,311-622-5964,-51.64857506059171 102.10800374097873
32982,YWYRUPTY,359-411-4409,-6.431718093898965 177.64987487662458
32986,YMQMR,414-336-8109,-30.202602596666203 51.15050178737973
98526,ITIMG,103-675-4947,20.996023247620712 122.95404705793152
32991,DQPQOWPC,235-247-7968,39.66927564163203 50.20196753618947
32994,ORCMT,229-427-4502,-46.19824683303962 67.38023459042914
32995,OVXUN,878-644-8192,40.81471685300701 91.5421922505072
98533,HYKIDPV,873-145-8234,-80.39264372196182 53.989692961605
65769,NCSXNUU,261-570-4945,-74.1946679458975 160.93213431482425
98536,DCIYQW,587-607-6019,-68.34322292863975 59.94984935018296
33002,PJLWDVYS,490-411-8489,52.42684203371712 31.750689488123033
33003,YFUQL,715-546-1268,-1.309923065437701 167.84125612154082
98541,AEJBCBJBO,257-122-8126,-88.89726171452264 4.02915028573577
33006,UTSVL,581-162-9212,-46.74510380901532 74.65039809585959
65777,GDWAG,847-357-4166,-25.792283192024314 4.675800011463827
33009,FBDLNII,346-464-6287,-75.32820532647028 180.3174586201323
33010,DEJKAKI,336-540-3987,-77.71337094823926 33.93789441554002
65781,FWDUM,740-119-3385,28.632595848678875 123.29108382564952
33013,FYRPY,315-628-3637,10.910586302366752 64.80941330294317
33018,XPQFCXP,107-463-6152,-68.67012327393957 144.5314231666942
65786,EHMPAGS,843-672-6956,-26.726181115200227 95.66040756901204
33021,MHJVGAG,198-601-9176,42.09085902133651 44.798337538784345
33023,VFOBK,913-501-3821,-65.33663600770304 80.83733799465506
33024,PFRYAB,649-389-1355,40.7204953318641 115.86330064446894
33029,OSJLMMXYU,213-122-4783,-17.38193610661733 168.363719157636
98571,VWQNC,777-287-7975,60.146119051713015 83.49160095481267
65803,DSFMMGXR,204-362-3264,60.93430390894383 76.1565020625944
33035,MBPAAYP,842-424-1964,7.500113086583994 7.655673134744294
65805,PRLALD,454-679-2463,7.672907909852725 140.36598492595635
33038,NGYYI,911-517-6148,-39.52288120073991 111.46097302053167
65806,VVREO,587-467-4649,67.9750103667821 5.545775919544895
65808,UYSYSSNTX,431-661-3213,-1.3411453150661714 175.69240313924283
33042,MFYJCGM,769-742-4668,13.804149803420898 160.36405889175373
33043,WKLKJG,572-422-1283,45.51220980834651 46.72252476982806
65817,RQCVQBNAW,452-225-5955,49.69787762076811 173.47868875230128
65821,CQHMS,478-271-8490,74.93535426588943 56.7618215592565
98589,HQRYMYRM,338-165-6327,-28.766033281472573 78.01593060090823
65822,SSYVAUVUF,933-262-6694,5.551625746506787 82.07700955976357
65824,GVSCAFK,613-711-2108,-88.80509310740925 105.81635227693505
33062,PWSWNW,291-258-6679,24.432598115610304 14.854945381012495
65830,XYDXWWYYV,566-497-6989,31.34871248821915 152.24120600373328
98600,WLLHTW,221-601-3549,-23.430743051692446 108.84782853891718
98603,YJIXROPAY,483-105-6537,-41.64499738504531 66.86883663522401
98605,EHMHEE,744-731-2701,58.204272369602904 9.799602791638097
65838,KMDMTD,869-544-7781,36.552443512109534 1.8529511835690766
33072,ONHRY,935-276-5478,62.088475151579445 117.92395544588307
33073,BHDXRU,647-120-8582,-32.71327364992821 47.063308560289215
65840,OEYMPB,766-626-2730,26.831166486567668 151.38112296133343
65850,SBSACBIC,630-537-3751,15.998184606112005 58.38418917449198
65852,TVLVJLV,821-313-8776,-17.22350654360413 147.78363609161804
33086,JFSYEL,864-147-5500,37.50357921455908 141.70719406577618
98624,PYUPF,825-739-2548,-69.7428349391219 102.25049653577643
65860,OGEOTHIWB,658-675-4787,-74.22101962926165 52.222300322619404
65865,HFWKQX,203-143-8354,19.651873975636377 23.424673159389922
98632,XMCTDJYA,493-495-6478,62.07881688946597 132.58465825540762
65870,DHXFLHCD,468-170-9581,13.404355820697305 130.1707004853567
33103,WERYATQ,812-689-7795,14.410735145267665 149.4146528388535
65875,BYCHWNSHV,345-522-9829,-62.95039787168368 80.37701053438877
65881,BOMSX,840-254-3577,-57.77314408936668 111.37468203846042
33113,PHHOLE,305-503-8130,52.336760756134055 139.40202188184244
98653,HOTSQG,708-686-2214,-18.311081888656332 84.75869646632722
33116,KEJVWJPO,567-645-3257,37.73838724394855 131.22345881351933
98658,PFNUCBPS,409-735-4035,4.018268575331405 47.12900002833781
98661,AGGOXH,140-337-1149,14.99226812098145 115.27710796295503
98663,KHVWEDJ,406-421-6670,31.25112177920093 8.039820287849565
33126,HSSILTDPG,284-269-6941,40.83459089790293 131.30431261842446
65894,EJEVKEI,943-192-8133,34.18541302338393 46.29821042655626
33127,KAXUPMR,528-435-8524,-18.247726399004293 31.266608072221533
33128,CHYJPJU,598-344-5383,84.42754367730171 108.53027907003313
98666,REYQXI,256-400-8322,25.40744669169436 72.53164607149854
98669,PCTWLTJ,882-461-5072,-77.77424348629616 22.044330609203215
98671,SNEPRFSNL,330-541-2962,-28.631471172491892 28.08605796694044
65902,CUPFIXI,313-573-2005,-15.788635355521947 110.1124311815317
33137,BCYQLL,213-443-5540,-55.08003384460999 118.48907886314908
33140,RHLCJIULQ,869-601-5318,54.259869678138784 68.82803235054617
98677,VYRMLQ,228-599-1264,1.016793185407721 90.64496513193191
98679,PVHCQ,882-496-7352,-56.56884846676997 136.6395938306268
65910,IYLSGUD,350-474-1142,54.90017965196023 48.24276555618806
98685,QDVUSJ,800-311-3791,11.351167304767799 168.5089342395899
98687,QYOWV,306-601-8373,30.49677226018261 122.88868760403838
33151,EMAFMUP,688-600-5675,-6.542813750145328 148.397773493696
33152,YGFNWLADC,513-216-3761,-64.51282965714688 17.539431572378028
98690,PYIMHSBVO,456-105-4524,-37.75559285357543 71.44712453928403
98695,GBYYYA,332-128-8607,28.84789976495945 98.83402583695019
98698,DGTNLF,805-304-3276,-49.97612004317639 82.78159750812898
98700,QXUEF,242-205-2749,-10.25352947013316 166.3172071584596
65935,GOJOEI,852-620-2862,-45.27001680150864 60.344274512961555
98703,DFUAYNODP,329-232-4103,84.90045033789406 13.349250921165
98702,TPNFRBIXX,934-341-1228,10.000224259622499 162.54767907867725
65936,IBYDNV,932-376-7089,-68.10068515641277 85.7050193945965
65944,FYJHRATQ,894-585-5746,-42.90894943571472 91.8125923353504
98712,EWOOI,832-299-1316,-14.468396567057411 125.47935787881228
33178,KJYSPQJ,413-357-1172,-33.809679120822864 156.25871335114618
65952,YUPBMC,397-671-9211,46.86033982179109 107.93641895818737
98720,NYEYG,617-105-9596,-73.6595126646858 104.90990344220869
33186,ODVSY,379-386-2634,83.64587422094587 41.367325336020485
65959,DQNMM,601-158-3534,-40.50394643784804 40.78160827583582
98726,ELHJC,286-309-8724,6.728187937095242 92.85347629035775
65958,IIXCNHOH,285-717-4780,-50.795238378509076 168.12912766425225
33192,MJFKBLF,543-356-4634,74.14954386105225 116.07216894400298
65962,NNEVNCJWA,975-697-9520,-58.97609268074139 35.95289532099007
33197,QHGXSQFQ,621-121-7827,30.12360426869668 117.926660289069
33198,YRDWSQNE,923-458-5761,4.06171050713823 86.58044843931091
65966,YRVIN,515-469-3677,-56.56144234693976 10.83456041165494
33200,YGMBU,428-238-4783,-51.032037667127724 17.774727804325952
98736,CNTGXBGQ,706-285-6638,-15.480466225977835 102.96642992356814
33201,SYJWU,341-508-4777,23.289273445326344 127.35446737381798
65970,XPFOTKRP,263-327-3783,-17.83053995138299 147.59080626361248
33208,RQGWUVD,335-698-3957,-88.6488959649186 171.75474831389025
65977,VICQJXUYD,420-707-9965,40.95777633836559 151.9522644449587
65976,VNYYP,950-346-5586,75.73219360915112 41.304576065480944
65978,YFQEBP,682-472-4047,54.33285526018042 82.78595414090111
65980,OCKYSKMQ,288-372-8389,83.95650771423553 87.25305342156491
33213,SFAANDI,398-175-9878,19.796646873352444 0.6550446425533564
98751,NWGWVT,393-100-9785,-8.756255453399348 120.73690993165702
65982,UQCWVVKFT,943-584-8770,-10.101020023103544 175.78680592401875
33215,QRDIKGXB,300-631-4941,20.03135419214587 54.94965448476122
33222,HKNUGJN,589-737-3248,41.38430417816181 166.9784258618178
65990,EYCSNKDTF,971-134-4955,-33.49049759960665 113.74604448186227
98761,KYNIHRIC,962-465-9387,-63.44513521069551 121.44564999789839
98760,HUGPWUMA,521-657-2691,-13.405109779237577 48.79557508354308
65995,EODTITRTJ,718-543-8795,72.80218639445931 25.195084216799525
98766,XIOEEJ,548-157-6210,-64.38982615999191 6.184851372586115
65998,INTVREI,894-494-4203,-86.69734669919418 88.61545283049793
33233,IHSMHNVQT,730-345-4006,-81.5671815398612 64.06096366039347
66006,OBJBG,126-270-5978,-10.92694101197344 16.503548186270777
98774,OPYHSPYK,834-346-3780,59.03054446960675 30.506716488047516
98776,XYGGWHG,321-449-6234,25.938602727235775 115.66729386480567
98779,YVKGJ,825-675-4724,-84.88994618113134 98.3434711428265
98778,VXXCSX,361-461-7007,2.4783490851803833 49.58148219237343
98780,JBWGKJ,616-467-7380,24.071580784505983 20.968360724348834
33248,JSCRM,565-533-3920,-46.317720328283386 156.31089312897072
66019,HRRYNE,983-311-3761,-3.416102901995629 98.6501655802071
98786,YRALB,435-355-2436,-89.12090456374855 127.06108715156687
33252,LUWRKF,567-619-5314,-37.127342610401676 89.93168014092174
33253,UOJYM,334-405-4904,-18.524507592652412 137.26888475450374
66020,FCVAWCF,533-148-5428,-44.75038178267637 61.91630235129006
66023,IUHJPWQEL,255-448-9037,5.185253913414542 48.10251021921305
66025,IRMBND,403-181-2045,47.501019420018764 120.25275040931047
66024,IJPHY,914-566-6707,-75.27947944566296 158.60576806911746
33258,HKVLMCPX,111-180-7372,6.500530981721823 159.57415319753122
33259,MFIRCOKWU,993-307-6012,5.367713437686604 150.49096512858782
66031,YKEWYKET,634-519-3203,29.81547210578364 138.9963515382078
98799,YIAEJWW,689-434-1761,-59.522896080616576 107.76218001426632
33262,SKRYW,681-397-7525,89.13455571226112 78.03527871788205
66036,OHCSMNLF,196-173-5528,41.65766110075364 32.93340544911386
66040,IPXMD,964-727-4096,39.06131437039642 62.96425355220014
98810,YBMVAOIVK,183-639-7904,24.387795886227437 175.59538144585807
66044,YAEAF,903-502-9181,56.18929371178535 70.19945702000538
66047,MYLQPMOR,980-297-1634,-40.17220432816324 26.480475090040994
98815,RCQNSDYJ,580-367-8574,13.403579878567427 66.77560696614151
33279,JSCPKJ,319-735-5768,-75.14882316094045 6.976637479183188
66048,WMFYATFJJ,457-606-6449,-34.962321334059105 104.35353853644165
33285,OUYPICSKH,281-301-2371,-28.300078280593375 93.24956893448373
33289,YTKCCC,247-373-8056,73.85560916581744 154.48764232162503
33291,KPVCCXJ,332-619-7046,-15.787549254155081 55.746388482200615
33298,XBMVDM,588-609-2220,82.82622490384796 58.07356781339646
66067,MMHOOOQN,691-246-5262,-74.72656971926844 106.87474276414753
98835,LWYAV,379-315-5513,31.30995558013278 94.99499430781535
33301,WEGGCKQB,583-380-5645,22.99095949134717 71.07786625567904
66068,LONXKLPSE,491-298-1959,87.58787693428263 148.99343014368318
33312,EDSOP,724-263-1363,-55.88073561173131 84.35929052554802
33314,EGWPC,116-609-6186,63.62870126209066 21.69595317763182
66088,CLMSMLGO,569-199-6253,-55.585801228107584 4.550042564446274
66091,HLSODGJ,878-215-8772,67.61151389549192 115.55324383008858
33324,MEYKJEPYY,460-260-1885,-18.06619608753678 70.25672405238896
98860,BOJLAM,550-635-1054,-60.99982084915297 51.16389829656688
66094,KABPNLC,547-351-7513,-10.222228302866867 165.48062794033558
66103,BCQJNJS,454-109-4537,-6.099834071849273 50.09089215475873
33336,XDWHITVSY,943-183-8299,46.39731253228291 143.3560016145604
98875,NVOXIB,953-586-7065,-0.9808564714716255 35.81219360969284
33340,YYLPTW,468-194-9666,68.40088413918 31.319931053440985
66108,JWULXEI,343-670-2848,-3.200099637828899 39.8898767327763
98882,WOCGY,585-108-1539,-4.2686254497219664 156.29670669454543
98884,LYWNTKYIK,479-497-9724,-79.80257849859319 67.79082548668842
66116,WEGIPBWIR,977-718-5763,-15.803099763778675 52.15635725724974
33351,VEGDH,829-534-7885,22.131498108962333 161.04681215499605
98891,XRPXAG,628-409-2284,28.599919861175422 130.79004898424364
98892,WTYQUYRG,149-427-2319,5.862108158726727 43.60310183853589
98897,EFJYQY,785-423-6124,73.128463646477 154.63429322217482
66128,GXABLSAMF,690-189-4113,21.40688219551727 62.27187710526347
33363,MVCVD,661-123-8570,-43.75165564445255 104.37136877467361
33364,DMQYQKE,792-299-9438,31.648239363040517 83.18063767496109
98901,KLLGY,880-677-7521,1.0667474619244928 98.83522234225454
98900,XPYPX,849-414-6025,65.96236354116499 135.9854218356809
33365,SKKQP,917-335-2965,-83.97473931452492 79.86002077722745
66137,WJFEPY,745-631-3320,-55.95690203677696 22.404944647712433
33369,MFRJDJW,580-580-2824,32.82433163486802 8.922813783877439
66145,PQXFT,499-337-8709,1.0907212041236818 165.32409708158377
33378,JGJNJ,864-522-6801,-18.31859849214794 49.9523495657069
66149,YMUDC,107-193-3285,59.68911300656859 44.31388615973871
66152,BWAGP,333-442-7375,78.3812775695645 167.60272332544727
66157,QJJCQPE,167-486-2716,-69.495832635412 68.91973801376902
33388,MVTBLO,197-729-7179,-27.90978042786493 114.62358547838605
66159,TMDBKQGQD,776-349-1830,87.40236074863603 34.48131693391633
98929,MVSFJW,998-494-6962,12.573883897870871 114.6980039406814
33393,OEPLIUBND,206-105-2309,-29.28980056262133 170.5642833506675
66163,DXSFXQ,232-571-5513,81.28472699651286 30.264385306325828
33397,SMBVY,826-182-2582,-39.88619630203822 178.30812681617857
33400,RXYMNAC,838-358-3481,-77.23427858921661 31.39078470970733
33401,ETHEK,429-495-7801,-67.8676117676666 95.12404279275256
66170,NSPVFKWA,999-117-4090,-79.04494528278963 108.72787222973196
98944,WGJWE,240-731-1530,79.19013759313248 114.2130144494729
33412,IWCXS,358-593-6408,70.27038126829555 15.931071508332547
33413,HFPNDYHJR,668-315-3176,-8.94184015377401 143.31655649088952
66180,UTQSISLN,598-521-2625,-53.198670254340634 180.71291146557755
33414,AXDRYJ,107-380-7384,66.84146750830809 155.96128476392835
66183,UIVPI,567-539-2001,34.54558435598305 141.86342920128433
98955,WCUMLPLF,163-606-7644,22.745524456980945 174.2133610594731
66189,TVKIYAXU,467-637-8580,54.3863471725864 80.15937764376027
98956,DUBFK,204-380-1813,54.57266275635976 178.61989208091774
33423,CIYBCX,627-419-2201,-6.571915437812436 72.07233540770541
98960,NTXYR,946-396-8454,17.27086769183937 119.5819179830533
33426,PHRAAOA,881-608-4865,-50.617393765907536 83.581278487749
98963,JGSXEDCSD,455-237-7265,73.88556188917619 133.8770699758245
33428,DYFHVAPV,618-216-9719,78.92893967367783 124.19695612481638
66197,DTYBTEWRN,103-616-5527,62.949807636781884 145.4300013960808
98964,EQARVCGKD,331-235-1502,-30.641784301567327 145.51340855512913
66199,YPMGCDLTY,216-593-1779,38.688970514603085 51.71478992552537
98967,NJYHN,757-569-5702,-52.64130810337787 117.21618317456917
33432,XWYYVQFL,999-723-4027,56.41310234902059 150.3658159185781
98968,LKMQKQSEG,845-554-6135,-6.503785036867001 74.49742593365858
33439,RDULMD,649-634-9461,-41.87647521495163 145.67237774840282
66209,LTUTMJMI,965-558-1625,23.801962924441185 157.25464734821517
33445,WXVVFB,880-527-1728,67.66972286993828 145.63712669326202
98984,MYDBWEQ,493-172-2174,-86.10816365052077 124.28304317945982
98987,YKKWTBQD,232-416-6689,63.75845363040864 55.18947996636014
33453,QIHCWE,722-582-3931,-46.7889823036292 144.91054316794683
98988,RVYRMVVO,698-690-5390,-19.260946325149504 29.962700626579863
33458,IVYNMV,876-223-4184,-61.67776524431094 72.17014582820961
98996,DIQHVBO,367-134-4920,37.36724111692956 104.76677787296283
33462,DGTFFH,906-230-5498,-28.362194186030806 80.65601285441366
33464,DTFOX,292-478-6920,-28.31571973379036 32.51932075085895
33470,YCYRIMAI,749-251-2494,-55.36677231298212 150.66764978735458
33471,OYQFQ,919-518-3842,9.739236838762054 83.93262660307307
99006,AHUOOOC,312-650-3315,-84.62598816603831 32.11089170539422
99008,LDHRGTH,305-284-7597,-7.870994588622622 65.6976443903755
33474,YCDMNI,869-233-2007,48.13758396110569 3.8948259812440025
99012,WNOCTI,315-126-8594,73.2342845001362 147.25397788000333
66250,NORVLRYAP,837-334-5889,43.01870027229745 120.24057461142098
33484,JXSUOO,659-585-8371,-89.41090965050475 75.49023043063049
66252,TVCYGTEB,712-735-9468,63.66932993628549 30.400904905762914
33485,YUOIYNU,319-588-8606,-16.962698032267454 152.8798055407636
99023,NGQVGWYI,978-237-9983,-73.25701190671016 21.778804565084247
66259,YOFMW,594-130-1141,18.20178809112612 83.62496726554205
66261,DWCFLON,832-573-8461,-66.81127111454659 107.32875554355599
99028,ULCJAJ,802-568-7196,43.319962515922214 138.35536419577156
66260,YWWXYKIKF,894-251-2806,40.27137502103267 64.42616311813846
66265,JVMTNT,958-196-7444,21.684196151963974 108.8072199790661
33497,FJDAYD,408-660-7441,-22.917671807309162 148.09836633745527
99034,CXYYAKG,118-717-5089,56.766406498791156 152.69553114036722
33503,KIGIP,445-447-6007,37.349192766621115 63.62501914081944
99040,GGMQNJ,233-591-1993,-59.39697832624557 18.683932381619734
99043,IUMTITT,878-629-5100,53.55269628136193 113.03597526685007
33510,NJVEK,713-429-1190,-41.82990323936793 61.95554164617492
99051,PMOOVQI,159-724-7543,67.71574552050069 58.96176033981336
33514,DCYYKX,446-333-7522,36.28773077604126 133.39304426302763
99050,YTHKLYP,541-162-3060,13.742326212736955 33.62457267894718
99055,SRLTAQ,833-727-9407,6.0587861269168 171.78733942999733
99057,LQRWMEU,285-546-4310,-61.14736078553992 94.4970463580701
99056,ISSQBS,842-280-6188,21.969122291309887 7.811417677157524
66291,SYHLOX,957-560-3519,84.48631842397921 113.30160908555384
33523,HDSVXX,128-735-7170,80.55464960245394 116.71992659881442
99065,YFRAN,192-693-7365,27.026875948256773 33.574874199024684
99064,VRNDNBPEI,404-583-8630,20.97529658551123 104.86458811764727
66298,GJVIETHUN,468-392-4718,36.83823458557541 107.97964910854736
66307,CHCTC,838-257-2112,33.92663997193547 27.1518714864827
33540,KJGLBT,621-125-8835,-77.60180644582445 81.9112905458304
66312,OVNELMF,734-698-9242,-6.9328770013742655 76.51166520973341
99083,RFBMA,922-417-2265,25.7638146117977 130.71577276789716
33547,QMSJAE,224-365-3107,8.542056047487918 66.29436272637282
99087,TYXYYSQ,375-683-2373,69.21022534595281 23.013427090984983
33552,GVNQUS,739-584-3901,5.245177955806639 84.26858415040086
33553,QPHLVY,765-145-6782,58.646963638382886 2.2054990092802877
66320,TATCQXGP,154-655-8969,44.174378212766186 85.55301517496939
66323,FKHETDH,882-320-5166,-57.66501704919616 102.22974604060204
66325,QXGWS,713-617-1121,-32.389760247454156 52.38304735596989
99092,DRDXVPK,841-654-1837,-17.497392049283945 106.02700704260916
66327,FVYQIJRSC,284-543-6994,-29.1255949894756 106.08676073991212
99095,WPVXV,157-463-5966,-78.30980453422157 24.982202925475775
99097,AIQBYYRE,735-598-7140,34.10931071584618 118.02442093142905
99096,LKEIE,803-482-1556,-65.95908027299456 55.81146410239033
33561,MYFQY,142-588-6581,85.86168743533213 26.53206344137929
99098,LIGDNLEVV,675-512-7342,-46.700931477839575 0.9811585924329357
66333,YTLUJAQY,139-561-7071,17.249248699178537 158.10185394721037
66332,PMACVYC,838-438-9894,-25.022545711023398 33.76520418446576
99103,YWAGUS,763-556-8572,81.14336075757015 79.13077962329714
33571,PYGWKCCUE,782-104-7133,77.01193311704773 28.47378661621745
99106,SQYTV,529-607-6778,12.110025812635584 118.573932337144
99109,LAVMMDBF,156-327-8221,33.23374692400148 112.21956232438971
66341,UCHVAQXGJ,899-526-4025,68.81732873516657 162.74990668894134
99113,VGKDED,466-467-2883,-17.84061039896386 173.82677429152423
33576,CBNYTKEX,679-286-9635,-54.76038591580002 21.363115174961937
33578,EHTUN,926-707-3288,48.92283880066017 155.1341318974301
99114,DMNLNUL,303-450-8580,-5.733117492009228 27.531537231748825
66350,OEIJLJJY,329-275-5772,46.6564180296985 121.99409176508499
